total_gap,missing_count,weak_count,moderate_count,strong_count,avg_skill_level,high_importance_gap,readiness
51,3,2,0,0,0.4,33,Not Ready
8,0,0,3,2,2.4,5,Almost Ready
23,1,1,1,2,1.8,19,Not Ready
22,1,1,3,0,1.4,4,Not Ready
38,2,1,2,0,1.0,28,Not Ready
19,3,0,1,1,1.0,12,Not Ready
14,0,1,3,1,2.0,12,Almost Ready
27,2,1,1,1,1.2,17,Not Ready
18,1,0,2,2,2.0,17,Not Ready
17,0,2,2,1,1.8,4,Not Ready
19,1,2,0,2,1.6,8,Not Ready
1,0,0,1,4,2.8,0,Job Ready
36,1,2,2,0,1.2,29,Not Ready
7,0,1,1,3,2.4,0,Job Ready
17,1,2,0,2,1.6,8,Almost Ready
26,2,2,1,0,0.8,12,Not Ready
23,0,2,2,1,1.8,21,Not Ready
18,1,1,2,1,1.6,5,Not Ready
19,2,1,1,1,1.2,8,Not Ready
30,3,1,0,1,0.8,15,Not Ready
24,2,1,1,1,1.2,12,Not Ready
14,0,3,1,1,1.6,8,Almost Ready
40,3,0,2,0,0.8,31,Not Ready
33,2,1,1,1,1.2,24,Not Ready
20,1,3,0,1,1.2,8,Not Ready
10,0,1,3,1,2.0,4,Almost Ready
21,0,2,2,1,1.8,12,Not Ready
27,2,1,0,2,1.4,15,Not Ready
8,1,0,1,3,2.2,0,Almost Ready
14,2,1,1,1,1.2,4,Not Ready
16,1,2,0,2,1.6,0,Not Ready
36,2,3,0,0,0.6,10,Not Ready
16,1,1,1,2,1.8,0,Almost Ready
24,1,2,1,1,1.4,15,Not Ready
30,3,1,1,0,0.6,12,Not Ready
21,1,1,2,1,1.6,0,Not Ready
33,1,3,1,0,1.0,15,Not Ready
22,2,0,2,1,1.4,5,Not Ready
19,2,1,1,1,1.2,0,Not Ready
22,1,1,1,2,1.8,13,Not Ready
15,3,0,0,2,1.2,0,Not Ready
26,1,3,0,1,1.2,18,Not Ready
24,1,2,1,1,1.4,12,Not Ready
31,3,1,1,0,0.6,4,Not Ready
1,0,0,1,4,2.8,0,Job Ready
16,2,0,2,1,1.4,4,Not Ready
25,0,3,1,1,1.6,15,Not Ready
13,0,2,2,1,1.8,8,Almost Ready
29,1,2,0,2,1.6,20,Not Ready
40,1,3,1,0,1.0,38,Not Ready
20,2,0,2,1,1.4,16,Not Ready
8,0,1,0,4,2.6,8,Job Ready
23,2,0,2,1,1.4,4,Not Ready
30,3,1,1,0,0.6,20,Not Ready
31,1,3,0,1,1.2,18,Not Ready
19,2,0,1,2,1.6,4,Not Ready
23,0,2,2,1,1.8,18,Not Ready
23,2,2,1,0,0.8,8,Not Ready
20,1,3,0,1,1.2,8,Not Ready
42,3,1,0,1,0.8,36,Not Ready
9,0,1,2,2,2.2,0,Job Ready
30,2,1,1,1,1.2,27,Not Ready
38,3,1,0,1,0.8,30,Not Ready
36,2,2,1,0,0.8,20,Not Ready
37,1,3,0,1,1.2,31,Not Ready
19,0,1,3,1,2.0,17,Not Ready
31,2,1,2,0,1.0,19,Not Ready
24,0,4,1,0,1.2,20,Not Ready
19,0,1,2,2,2.2,19,Not Ready
20,0,2,2,1,1.8,10,Not Ready
14,1,0,2,2,2.0,12,Almost Ready
21,1,1,1,2,1.8,12,Not Ready
25,1,1,0,3,2.0,25,Not Ready
10,0,1,0,4,2.6,10,Job Ready
35,1,2,2,0,1.2,26,Not Ready
27,1,2,1,1,1.4,25,Not Ready
16,0,3,0,2,1.8,0,Almost Ready
19,1,2,0,2,1.6,16,Not Ready
30,2,1,1,1,1.2,17,Not Ready
26,2,1,0,2,1.4,15,Not Ready
16,2,0,1,2,1.6,0,Not Ready
43,3,1,0,1,0.8,37,Not Ready
4,0,1,1,3,2.4,0,Job Ready
27,1,3,1,0,1.0,17,Not Ready
50,2,3,0,0,0.6,48,Not Ready
31,1,2,1,1,1.4,25,Not Ready
33,2,3,0,0,0.6,12,Not Ready
11,1,0,1,3,2.2,5,Almost Ready
11,1,0,1,3,2.2,5,Almost Ready
27,1,2,0,2,1.6,15,Not Ready
30,1,1,2,1,1.6,28,Not Ready
15,1,2,0,2,1.6,8,Almost Ready
13,0,1,3,1,2.0,8,Almost Ready
26,1,3,0,1,1.2,12,Not Ready
19,0,2,2,1,1.8,12,Not Ready
39,2,0,3,0,1.2,39,Not Ready
3,0,0,2,3,2.6,0,Job Ready
23,1,1,2,1,1.6,20,Not Ready
15,2,1,1,1,1.2,4,Not Ready
20,1,1,0,3,2.0,20,Not Ready
26,1,2,1,1,1.4,8,Not Ready
27,2,1,1,1,1.2,12,Not Ready
32,1,1,3,0,1.4,24,Not Ready
17,1,0,1,3,2.2,15,Almost Ready
30,2,2,0,1,1.0,25,Not Ready
22,2,1,0,2,1.4,10,Not Ready
21,0,3,1,1,1.6,10,Not Ready
19,1,1,1,2,1.8,10,Not Ready
26,1,2,0,2,1.6,20,Not Ready
10,0,1,0,4,2.6,10,Job Ready
34,2,2,0,1,1.0,22,Not Ready
29,1,2,1,1,1.4,25,Not Ready
20,1,2,0,2,1.6,10,Not Ready
17,1,1,1,2,1.8,5,Not Ready
23,1,2,0,2,1.6,8,Not Ready
16,0,1,2,2,2.2,13,Almost Ready
14,0,1,2,2,2.2,8,Almost Ready
17,1,1,2,1,1.6,10,Not Ready
14,2,1,1,1,1.2,0,Not Ready
39,3,0,1,1,1.0,27,Not Ready
36,1,2,2,0,1.2,30,Not Ready
6,0,0,2,3,2.6,5,Job Ready
5,1,1,0,3,2.0,0,Job Ready
19,1,1,2,1,1.6,9,Not Ready
20,1,1,1,2,1.8,5,Not Ready
31,1,3,1,0,1.0,20,Not Ready
20,0,2,3,0,1.6,9,Not Ready
21,1,2,0,2,1.6,10,Not Ready
38,2,1,1,1,1.2,38,Not Ready
18,1,1,2,1,1.6,8,Not Ready
16,1,1,2,1,1.6,0,Not Ready
8,0,2,0,3,2.2,0,Job Ready
21,1,1,0,3,2.0,15,Not Ready
23,0,2,2,1,1.8,18,Not Ready
35,3,0,1,1,1.0,20,Not Ready
28,3,1,0,1,0.8,15,Not Ready
17,1,1,1,2,1.8,14,Not Ready
22,1,1,2,1,1.6,9,Not Ready
15,1,2,1,1,1.4,0,Almost Ready
14,1,0,1,3,2.2,12,Almost Ready
19,2,2,0,1,1.0,8,Not Ready
12,1,0,2,2,2.0,5,Almost Ready
27,1,2,1,1,1.4,17,Not Ready
50,4,1,0,0,0.2,30,Not Ready
18,0,2,3,0,1.6,5,Not Ready
21,0,2,3,0,1.6,18,Not Ready
39,1,3,1,0,1.0,24,Not Ready
32,1,2,2,0,1.2,28,Not Ready
22,1,1,1,2,1.8,20,Not Ready
13,0,2,1,2,2.0,8,Almost Ready
15,1,1,1,2,1.8,0,Almost Ready
28,1,1,1,2,1.8,28,Not Ready
5,0,0,2,3,2.6,0,Job Ready
28,1,1,1,2,1.8,25,Not Ready
25,0,3,2,0,1.4,13,Not Ready
6,0,1,2,2,2.2,0,Job Ready
23,1,1,0,3,2.0,23,Not Ready
20,1,1,2,1,1.6,10,Not Ready
46,2,2,0,1,1.0,46,Not Ready
19,1,2,0,2,1.6,15,Not Ready
14,2,1,0,2,1.4,0,Not Ready
18,2,0,1,2,1.6,0,Not Ready
14,0,2,1,2,2.0,0,Almost Ready
11,2,1,0,2,1.4,0,Almost Ready
8,0,1,1,3,2.4,4,Job Ready
22,2,0,1,2,1.6,15,Not Ready
22,0,2,3,0,1.6,8,Not Ready
27,1,2,1,1,1.4,15,Not Ready
23,3,0,2,0,0.8,16,Not Ready
26,1,2,2,0,1.2,16,Not Ready
29,1,3,1,0,1.0,25,Not Ready
25,2,0,3,0,1.2,13,Not Ready
10,0,0,3,2,2.4,5,Almost Ready
26,1,2,2,0,1.2,18,Not Ready
29,1,2,1,1,1.4,20,Not Ready
22,2,1,1,1,1.2,0,Not Ready
16,1,1,3,0,1.4,5,Not Ready
17,1,2,2,0,1.2,0,Not Ready
26,0,4,1,0,1.2,12,Not Ready
8,0,2,0,3,2.2,0,Job Ready
15,0,2,1,2,2.0,5,Almost Ready
16,0,3,1,1,1.6,8,Not Ready
25,1,2,1,1,1.4,13,Not Ready
30,1,1,2,1,1.6,28,Not Ready
27,1,2,0,2,1.6,15,Not Ready
23,1,0,2,2,2.0,20,Not Ready
43,3,2,0,0,0.4,31,Not Ready
23,2,1,2,0,1.0,12,Not Ready
38,4,1,0,0,0.2,27,Not Ready
22,1,1,2,1,1.6,14,Not Ready
25,1,2,0,2,1.6,15,Not Ready
17,2,0,2,1,1.4,4,Not Ready
22,1,0,2,2,2.0,19,Not Ready
17,2,1,0,2,1.4,0,Not Ready
30,1,2,1,1,1.4,20,Not Ready
18,0,1,2,2,2.2,18,Not Ready
32,2,1,2,0,1.0,12,Not Ready
7,0,0,3,2,2.4,0,Almost Ready
18,0,2,2,1,1.8,8,Not Ready
26,1,2,1,1,1.4,23,Not Ready
11,1,0,2,2,2.0,4,Almost Ready
5,0,1,1,3,2.4,0,Job Ready
23,1,1,1,2,1.8,15,Not Ready
28,0,4,1,0,1.2,20,Not Ready
24,4,1,0,0,0.2,0,Not Ready
19,1,0,2,2,2.0,17,Not Ready
22,1,2,1,1,1.4,8,Not Ready
20,3,0,1,1,1.0,0,Not Ready
22,0,2,3,0,1.6,8,Not Ready
36,3,0,0,2,1.2,36,Not Ready
31,2,1,1,1,1.2,24,Not Ready
20,0,2,0,3,2.2,20,Not Ready
31,2,2,0,1,1.0,20,Not Ready
19,2,1,0,2,1.4,10,Not Ready
26,2,1,0,2,1.4,24,Not Ready
21,0,2,1,2,2.0,15,Not Ready
15,0,2,1,2,2.0,10,Almost Ready
29,1,2,1,1,1.4,20,Not Ready
37,4,1,0,0,0.2,12,Not Ready
36,4,0,0,1,0.6,27,Not Ready
15,2,0,1,2,1.6,0,Not Ready
26,2,1,2,0,1.0,15,Not Ready
22,1,1,2,1,1.6,15,Not Ready
8,0,0,3,2,2.4,5,Job Ready
22,1,1,2,1,1.6,10,Not Ready
20,1,0,3,1,1.8,14,Not Ready
15,1,2,0,2,1.6,0,Almost Ready
28,2,1,0,2,1.4,25,Not Ready
22,1,0,2,2,2.0,22,Not Ready
29,1,1,2,1,1.6,23,Not Ready
27,2,0,0,3,1.8,27,Not Ready
19,1,2,0,2,1.6,10,Not Ready
17,0,2,2,1,1.8,9,Not Ready
26,1,1,2,1,1.6,15,Not Ready
14,0,2,2,1,1.8,0,Almost Ready
28,2,1,1,1,1.2,20,Not Ready
15,1,3,0,1,1.2,8,Not Ready
21,2,0,2,1,1.4,0,Not Ready
17,1,1,1,2,1.8,14,Not Ready
16,0,3,0,2,1.8,8,Almost Ready
22,1,0,2,2,2.0,19,Not Ready
31,1,2,0,2,1.6,25,Not Ready
27,2,3,0,0,0.6,0,Not Ready
29,2,2,1,0,0.8,5,Not Ready
27,1,1,2,1,1.6,20,Not Ready
21,0,2,1,2,2.0,18,Not Ready
22,1,1,1,2,1.8,16,Not Ready
14,1,2,1,1,1.4,0,Almost Ready
24,2,0,2,1,1.4,20,Not Ready
15,0,2,1,2,2.0,10,Almost Ready
20,2,1,1,1,1.2,4,Not Ready
19,1,1,2,1,1.6,10,Not Ready
8,1,0,3,1,1.8,0,Almost Ready
10,0,0,4,1,2.2,4,Almost Ready
20,1,0,2,2,2.0,17,Not Ready
35,2,1,2,0,1.0,20,Not Ready
31,2,1,2,0,1.0,15,Not Ready
47,3,2,0,0,0.4,25,Not Ready
15,2,0,1,2,1.6,0,Not Ready
14,1,0,2,2,2.0,5,Almost Ready
34,2,1,1,1,1.2,32,Not Ready
23,1,1,2,1,1.6,16,Not Ready
16,0,1,2,2,2.2,10,Almost Ready
11,1,1,1,2,1.8,4,Almost Ready
12,1,1,2,1,1.6,4,Almost Ready
29,1,3,0,1,1.2,18,Not Ready
24,2,2,0,1,1.0,10,Not Ready
16,1,0,2,2,2.0,10,Almost Ready
23,1,1,2,1,1.6,10,Not Ready
27,1,3,1,0,1.0,18,Not Ready
26,2,0,1,2,1.6,15,Not Ready
19,0,3,1,1,1.6,13,Not Ready
22,2,1,2,0,1.0,10,Not Ready
17,1,1,2,1,1.6,0,Not Ready
25,2,1,1,1,1.2,15,Not Ready
13,1,1,1,2,1.8,5,Almost Ready
17,2,0,1,2,1.6,5,Not Ready
21,1,2,2,0,1.2,0,Not Ready
28,2,2,1,0,0.8,12,Not Ready
26,1,1,1,2,1.8,23,Not Ready
26,3,1,0,1,0.8,12,Not Ready
20,1,0,4,0,1.6,5,Not Ready
12,0,0,3,2,2.4,10,Almost Ready
11,0,2,1,2,2.0,0,Almost Ready
13,0,2,1,2,2.0,0,Almost Ready
17,1,1,0,3,2.0,8,Almost Ready
14,1,0,1,3,2.2,12,Almost Ready
11,1,2,0,2,1.6,0,Almost Ready
16,1,0,3,1,1.8,4,Not Ready
23,2,0,2,1,1.4,4,Not Ready
15,0,2,1,2,2.0,10,Almost Ready
19,0,2,2,1,1.8,9,Not Ready
9,0,1,3,1,2.0,0,Almost Ready
37,3,0,1,1,1.0,31,Not Ready
13,0,1,2,2,2.2,4,Almost Ready
32,3,0,2,0,0.8,15,Not Ready
15,1,0,1,3,2.2,12,Almost Ready
19,1,2,0,2,1.6,8,Not Ready
14,1,0,2,2,2.0,0,Almost Ready
21,1,1,2,1,1.6,5,Not Ready
42,2,2,0,1,1.0,33,Not Ready
20,1,0,2,2,2.0,15,Not Ready
30,4,0,0,1,0.6,15,Not Ready
32,1,2,1,1,1.4,23,Not Ready
15,0,2,1,2,2.0,0,Almost Ready
17,1,1,3,0,1.4,4,Not Ready
27,2,0,2,1,1.4,15,Not Ready
13,1,3,0,1,1.2,0,Not Ready
16,2,1,2,0,1.0,0,Not Ready
21,1,3,1,0,1.0,10,Not Ready
36,2,3,0,0,0.6,10,Not Ready
20,2,0,2,1,1.4,8,Not Ready
21,0,3,1,1,1.6,13,Not Ready
12,1,0,2,2,2.0,4,Almost Ready
28,1,2,1,1,1.4,16,Not Ready
3,0,1,1,3,2.4,0,Job Ready
13,0,2,1,2,2.0,5,Almost Ready
28,1,1,3,0,1.4,10,Not Ready
14,1,2,1,1,1.4,5,Not Ready
20,1,1,1,2,1.8,10,Not Ready
12,0,1,2,2,2.2,4,Almost Ready
42,4,0,0,1,0.6,27,Not Ready
23,1,2,2,0,1.2,10,Not Ready
6,1,0,2,2,2.0,0,Job Ready
37,3,1,0,1,0.8,22,Not Ready
20,1,0,1,3,2.2,20,Not Ready
32,1,2,2,0,1.2,27,Not Ready
21,1,2,0,2,1.6,15,Not Ready
22,1,1,3,0,1.4,12,Not Ready
28,1,2,1,1,1.4,13,Not Ready
18,0,2,2,1,1.8,5,Not Ready
12,0,0,4,1,2.2,8,Almost Ready
25,2,1,1,1,1.2,4,Not Ready
22,1,1,1,2,1.8,15,Not Ready
21,2,1,1,1,1.2,0,Not Ready
28,2,1,2,0,1.0,24,Not Ready
23,2,0,2,1,1.4,19,Not Ready
20,1,1,1,2,1.8,15,Not Ready
24,3,0,0,2,1.2,12,Not Ready
21,1,1,0,3,2.0,15,Not Ready
38,3,0,2,0,0.8,23,Not Ready
24,1,3,0,1,1.2,12,Not Ready
18,0,1,2,2,2.2,15,Not Ready
24,1,1,1,2,1.8,20,Not Ready
16,2,0,3,0,1.2,0,Not Ready
19,1,0,2,2,2.0,16,Not Ready
36,2,3,0,0,0.6,23,Not Ready
39,2,3,0,0,0.6,27,Not Ready
22,2,2,0,1,1.0,16,Not Ready
31,2,1,0,2,1.4,22,Not Ready
22,3,0,1,1,1.0,0,Not Ready
16,2,1,0,2,1.4,0,Not Ready
14,1,1,2,1,1.6,0,Almost Ready
26,1,1,2,1,1.6,19,Not Ready
9,0,1,1,3,2.4,5,Job Ready
16,0,2,2,1,1.8,8,Almost Ready
33,2,2,0,1,1.0,23,Not Ready
25,2,0,1,2,1.6,19,Not Ready
22,0,2,2,1,1.8,15,Not Ready
23,0,3,1,1,1.6,5,Not Ready
33,4,0,0,1,0.6,15,Not Ready
22,1,0,3,1,1.8,15,Not Ready
19,1,2,0,2,1.6,0,Not Ready
12,0,2,0,3,2.2,10,Almost Ready
29,1,2,0,2,1.6,20,Not Ready
9,1,0,0,4,2.4,0,Almost Ready
14,1,1,1,2,1.8,0,Almost Ready
20,2,1,1,1,1.2,5,Not Ready
29,2,1,1,1,1.2,25,Not Ready
34,2,1,0,2,1.4,30,Not Ready
40,2,1,1,1,1.2,37,Not Ready
32,4,0,1,0,0.4,5,Not Ready
13,0,1,1,3,2.4,10,Almost Ready
20,1,0,1,3,2.2,20,Not Ready
34,2,1,1,1,1.2,19,Not Ready
24,0,4,0,1,1.4,18,Not Ready
28,2,1,1,1,1.2,25,Not Ready
27,2,1,0,2,1.4,15,Not Ready
17,2,1,0,2,1.4,12,Not Ready
27,2,2,1,0,0.8,10,Not Ready
18,0,2,2,1,1.8,5,Not Ready
38,2,2,0,1,1.0,32,Not Ready
12,0,1,2,2,2.2,8,Almost Ready
30,1,2,2,0,1.2,24,Not Ready
45,3,2,0,0,0.4,34,Not Ready
24,3,0,0,2,1.2,12,Not Ready
34,3,2,0,0,0.4,8,Not Ready
29,2,0,1,2,1.6,29,Not Ready
18,1,1,2,1,1.6,5,Not Ready
18,0,2,2,1,1.8,10,Not Ready
17,1,0,1,3,2.2,17,Not Ready
4,0,0,1,4,2.8,4,Job Ready
26,2,2,0,1,1.0,12,Not Ready
7,0,1,2,2,2.2,0,Job Ready
15,2,0,2,1,1.4,0,Not Ready
6,1,0,0,4,2.4,0,Job Ready
29,1,2,1,1,1.4,23,Not Ready
14,0,0,4,1,2.2,9,Almost Ready
19,1,2,0,2,1.6,10,Not Ready
14,0,1,2,2,2.2,13,Almost Ready
25,1,2,0,2,1.6,10,Not Ready
18,0,2,1,2,2.0,10,Almost Ready
29,1,2,0,2,1.6,20,Not Ready
22,0,3,1,1,1.6,14,Not Ready
17,1,2,1,1,1.4,0,Not Ready
18,2,0,1,2,1.6,12,Not Ready
29,0,3,2,0,1.4,22,Not Ready
42,2,1,2,0,1.0,40,Not Ready
8,1,1,1,2,1.8,0,Almost Ready
32,3,0,1,1,1.0,12,Not Ready
13,0,1,2,2,2.2,10,Almost Ready
36,3,0,2,0,0.8,19,Not Ready
13,1,0,3,1,1.8,0,Almost Ready
19,0,2,1,2,2.0,13,Not Ready
37,3,2,0,0,0.4,22,Not Ready
13,1,0,2,2,2.0,4,Almost Ready
11,1,1,1,2,1.8,0,Almost Ready
14,0,1,2,2,2.2,10,Almost Ready
32,2,1,1,1,1.2,27,Not Ready
14,0,1,2,2,2.2,12,Almost Ready
24,1,2,1,1,1.4,18,Not Ready
11,2,0,1,2,1.6,0,Almost Ready
36,2,2,1,0,0.8,22,Not Ready
21,2,1,2,0,1.0,9,Not Ready
19,1,2,1,1,1.4,14,Not Ready
23,1,2,1,1,1.4,12,Not Ready
38,2,1,1,1,1.2,35,Not Ready
6,0,2,1,2,2.0,0,Job Ready
20,1,0,1,3,2.2,20,Not Ready
8,1,1,0,3,2.0,0,Almost Ready
33,1,3,0,1,1.2,25,Not Ready
19,1,2,0,2,1.6,8,Not Ready
21,2,1,1,1,1.2,12,Not Ready
11,0,2,1,2,2.0,0,Almost Ready
41,1,4,0,0,0.8,33,Not Ready
39,3,0,2,0,0.8,30,Not Ready
19,0,1,3,1,2.0,15,Not Ready
25,1,1,1,2,1.8,19,Not Ready
5,0,1,1,3,2.4,0,Job Ready
28,3,1,1,0,0.6,0,Not Ready
36,1,3,1,0,1.0,30,Not Ready
17,1,0,1,3,2.2,15,Almost Ready
19,2,1,1,1,1.2,10,Not Ready
29,1,1,3,0,1.4,20,Not Ready
16,0,3,2,0,1.4,5,Not Ready
18,2,1,1,1,1.2,0,Not Ready
13,1,1,1,2,1.8,5,Almost Ready
10,0,1,2,2,2.2,0,Almost Ready
5,0,0,3,2,2.4,0,Job Ready
33,1,3,1,0,1.0,22,Not Ready
19,1,1,2,1,1.6,4,Not Ready
22,1,1,1,2,1.8,16,Not Ready
32,1,3,1,0,1.0,20,Not Ready
33,2,1,2,0,1.0,25,Not Ready
24,1,2,0,2,1.6,18,Not Ready
18,1,1,0,3,2.0,12,Almost Ready
26,2,2,0,1,1.0,10,Not Ready
21,1,3,0,1,1.2,10,Not Ready
19,1,2,1,1,1.4,4,Not Ready
16,1,1,0,3,2.0,10,Almost Ready
15,0,2,2,1,1.8,8,Not Ready
5,0,0,2,3,2.6,0,Job Ready
14,0,2,2,1,1.8,5,Almost Ready
50,3,1,1,0,0.6,49,Not Ready
37,2,2,1,0,0.8,32,Not Ready
24,1,1,2,1,1.6,18,Not Ready
11,1,0,1,3,2.2,0,Almost Ready
34,2,1,1,1,1.2,28,Not Ready
33,2,1,2,0,1.0,15,Not Ready
27,0,4,1,0,1.2,13,Not Ready
8,0,1,1,3,2.4,0,Job Ready
17,0,3,1,1,1.6,0,Not Ready
25,1,2,0,2,1.6,15,Not Ready
18,0,1,3,1,2.0,14,Not Ready
15,0,2,2,1,1.8,4,Almost Ready
29,3,0,1,1,1.0,12,Not Ready
24,1,1,1,2,1.8,22,Not Ready
20,1,1,2,1,1.6,9,Not Ready
40,2,1,2,0,1.0,31,Not Ready
